index,dateTime,calories,heart_rate,confidence,steps/min,distance/min,Voltage,Temperature
86,01/14/20 11:47:00,1.66,72,2,0,0,13.15,16.1745
87,01/14/20 11:48:00,1.66,72,2,0,0,13.15,16.1745
88,01/14/20 11:50:00,1.66,77,1,0,0,12.9,15.867
89,01/14/20 12:25:00,1.79,82,1,21,167.2167217,12.9,15.867
90,01/14/20 12:27:00,1.66,79,1,8,63.80638064,12.9,15.867
91,01/14/20 13:33:00,1.79,67,0,91,726.0726073,12.9,15.867
92,01/14/20 13:37:00,1.53,86,3,0,0,13.15,16.1745
93,01/14/20 13:40:00,1.66,83,1,0,0,13.15,16.1745
94,01/14/20 13:58:00,1.66,73,1,0,0,13.15,16.1745
95,01/14/20 14:00:00,1.66,76,1,0,0,13.15,16.1745
96,01/14/20 14:06:00,1.66,76,2,0,0,10.84,13.3332
97,01/14/20 00:36:01,1.53,78,1,6,47.30473047,10.84,13.3332
98,01/14/20 00:37:01,1.920213115,71.25081967,1.631147541,4.396721311,35.07727822,12.89380328,15.85937803
99,01/14/20 00:38:01,1.895465891,70.99397144,1.632998414,4.110735061,32.79735694,12.89790799,15.86442682
100,01/14/20 01:00:01,1.870718667,70.73712322,1.634849286,3.82474881,30.51743567,12.90201269,15.86947561
101,01/14/20 01:09:01,1.845971444,70.48027499,1.636700159,3.538762559,28.23751439,12.9061174,15.8745244
102,01/14/20 01:15:01,1.82122422,70.22342676,1.638551031,3.252776309,25.95759312,12.9102221,15.87957319
103,01/14/20 01:24:01,1.796476996,69.96657853,1.640401904,2.966790058,23.67767184,12.91432681,15.88462198
104,01/14/20 02:12:01,1.771729773,69.7097303,1.642252776,2.680803808,21.39775056,12.91843152,15.88967077
105,01/14/20 02:14:01,1.746982549,69.45288207,1.644103649,2.394817557,19.11782929,12.92253622,15.89471956
106,01/14/20 02:33:01,1.722235325,69.19603384,1.645954521,2.108831306,16.83790801,12.92664093,15.89976834
107,01/14/20 02:34:01,1.697488102,68.93918562,1.647805394,1.822845056,14.55798673,12.93074564,15.90481713
108,01/14/20 02:35:01,1.672740878,68.68233739,1.649656267,1.536858805,12.27806546,12.93485034,15.90986592
109,01/14/20 02:37:01,1.647993654,68.42548916,1.651507139,1.250872554,9.998144182,12.93895505,15.91491471
110,01/14/20 02:38:01,1.28,82,1,11,86.90869087,12.9,15.867
111,01/14/20 02:40:01,1.28,91,1,9,71.50715072,12.9,15.867
112,01/14/20 02:43:01,1.28,96,0,17,135.3135314,12.9,15.867
113,01/14/20 02:45:01,1.28,70,0,0,0,12.9,15.867
114,01/14/20 02:47:01,1.28,70,0,0,0,12.38,15.2274
115,01/14/20 02:48:01,1.28,70,0,0,0,12.38,15.2274
116,01/14/20 02:49:01,1.28,70,0,0,0,12.38,15.2274
117,01/14/20 02:51:01,1.28,85,1,0,0,12.38,15.2274
118,01/14/20 02:53:01,1.28,75,1,0,0,12.9,15.867
119,01/14/20 02:54:01,1.28,107,0,76,609.4609461,12.9,15.867
120,01/14/20 02:55:01,1.28,102,0,60,315.7315732,12.9,15.867
121,01/14/20 02:56:01,1.28,87,1,96,713.9713971,12.9,15.867
122,01/14/20 03:00:01,1.28,116,1,109,834.9834983,13.92,17.1216
123,01/14/20 03:01:01,1.28,115,1,111,877.8877888,13.92,17.1216
124,01/14/20 03:06:01,1.28,94,1,111,944.9944994,13.92,17.1216
125,01/14/20 03:07:01,1.28,84,1,106,900.990099,13.92,17.1216
126,01/14/20 03:08:01,1.28,94,1,106,830.5830583,13.15,16.1745
127,01/14/20 03:26:01,1.28,84,1,103,871.2871287,13.15,16.1745
128,01/14/20 03:49:01,1.28,91,1,109,922.9922992,13.15,16.1745
129,01/14/20 03:50:01,1.28,78,1,110,941.6941694,13.15,16.1745
130,01/14/20 03:51:01,1.28,83,1,108,917.4917492,13.92,17.1216
131,01/14/20 04:55:01,1.28,78,1,108,891.0891089,13.92,17.1216
132,01/14/20 04:56:01,1.28,84,2,111,887.7887789,13.92,17.1216
133,01/14/20 05:24:01,1.28,84,2,109,914.1914191,13.92,17.1216
134,01/14/20 05:40:01,1.28,86,1,109,917.4917492,13.41,16.4943
135,01/14/20 06:34:01,1.28,85,1,104,760.1760176,13.41,16.4943
136,01/14/20 06:35:01,1.28,97,1,89,606.1606161,13.41,16.4943
137,01/14/20 06:52:01,1.28,78,2,0,0,13.41,16.4943
138,01/14/20 06:55:01,1.28,74,3,0,0,14.44,17.7612
139,01/14/20 06:56:01,1.28,71,2,0,0,14.44,17.7612
140,01/14/20 07:22:01,1.28,116,1,106,845.9845985,14.44,NaN
141,01/14/20 07:31:01,1.28,87,1,10,79.20792079,14.44,NaN
142,01/14/20 07:32:01,1.28,88,1,27,215.6215622,12.13,NaN
