time,S_C_LOAD_ON_BUS-1
10-01-2022 00:03:45,260.9678864
10-01-2022 00:03:46,260.9678864
10-01-2022 00:03:47,260.9678864
10-01-2022 00:03:48,260.9678864
10-01-2022 00:03:49,260.9678864
10-01-2022 00:03:50,260.9678864
10-01-2022 00:03:51,260.9678864
10-01-2022 00:03:52,274.3061392
10-01-2022 00:03:53,274.3061392
10-01-2022 00:03:54,274.3061392
10-01-2022 00:03:55,274.3061392
10-01-2022 00:03:56,260.9678864
10-01-2022 00:03:57,260.9678864
10-01-2022 00:03:58,260.9678864
10-01-2022 00:03:59,260.9678864
10-01-2022 00:04:00,287.644392
10-01-2022 00:04:01,312.3831792
10-01-2022 00:04:02,312.3831792
10-01-2022 00:04:03,312.3831792
10-01-2022 00:04:04,305.7140528
10-01-2022 00:04:05,305.7140528
10-01-2022 00:04:06,305.7140528
10-01-2022 00:04:07,305.7140528
10-01-2022 00:04:08,299.0449264
10-01-2022 00:04:09,282.5524016
10-01-2022 00:04:10,282.5524016
10-01-2022 00:04:11,282.5524016
10-01-2022 00:04:12,289.221528
10-01-2022 00:04:13,289.221528
10-01-2022 00:04:14,289.221528
10-01-2022 00:04:15,289.221528
10-01-2022 00:04:16,289.221528
10-01-2022 00:04:17,286.413552
10-01-2022 00:04:18,286.413552
10-01-2022 00:04:19,286.413552
10-01-2022 00:04:20,286.413552
10-01-2022 00:04:21,286.413552
10-01-2022 00:04:22,286.413552
10-01-2022 00:04:23,286.413552
10-01-2022 00:04:24,312.8310624
10-01-2022 00:04:25,312.8310624
10-01-2022 00:04:26,312.8310624
10-01-2022 00:04:27,312.8310624
10-01-2022 00:04:28,286.413552
10-01-2022 00:04:29,286.413552
10-01-2022 00:04:30,286.413552
10-01-2022 00:04:31,286.413552
10-01-2022 00:04:32,286.413552
10-01-2022 00:04:33,278.2473504
10-01-2022 00:04:34,278.2473504
10-01-2022 00:04:35,278.2473504
10-01-2022 00:04:36,284.851728
10-01-2022 00:04:37,284.851728
10-01-2022 00:04:38,284.851728
10-01-2022 00:04:39,284.851728
10-01-2022 00:04:40,271.6429728
10-01-2022 00:04:41,279.8091744
10-01-2022 00:04:42,279.8091744
10-01-2022 00:04:43,279.8091744
10-01-2022 00:04:44,293.0179296
10-01-2022 00:04:45,293.0179296
10-01-2022 00:04:46,293.0179296
10-01-2022 00:04:47,293.0179296
10-01-2022 00:04:48,293.0179296
10-01-2022 00:04:49,290.437056
10-01-2022 00:04:50,290.437056
10-01-2022 00:04:51,290.437056
10-01-2022 00:04:52,290.437056
10-01-2022 00:04:53,290.437056
10-01-2022 00:04:54,290.437056
10-01-2022 00:04:55,290.437056
10-01-2022 00:04:56,290.437056
10-01-2022 00:04:57,290.437056
10-01-2022 00:04:58,290.437056
10-01-2022 00:04:59,290.437056
10-01-2022 00:05:00,290.437056
10-01-2022 00:05:01,290.437056
10-01-2022 00:05:02,290.437056
10-01-2022 00:05:03,290.437056
10-01-2022 00:05:04,303.9048064
10-01-2022 00:05:05,312.2311296
10-01-2022 00:05:06,312.2311296
10-01-2022 00:05:07,312.2311296
10-01-2022 00:05:08,312.2311296
10-01-2022 00:05:09,312.2311296
10-01-2022 00:05:10,312.2311296
10-01-2022 00:05:11,312.2311296
10-01-2022 00:05:12,312.2311296
10-01-2022 00:05:13,312.2311296
10-01-2022 00:05:14,312.2311296
10-01-2022 00:05:15,312.2311296
10-01-2022 00:05:16,318.9650048
10-01-2022 00:05:17,318.9650048
10-01-2022 00:05:18,318.9650048
10-01-2022 00:05:19,318.9650048
10-01-2022 00:05:20,312.2311296
10-01-2022 00:05:21,309.2289072
10-01-2022 00:05:22,309.2289072
10-01-2022 00:05:23,309.2289072
10-01-2022 00:05:24,309.2289072
10-01-2022 00:05:25,309.2289072
10-01-2022 00:05:26,309.2289072
10-01-2022 00:05:28,309.2289072
10-01-2022 00:05:29,309.2289072
10-01-2022 00:05:30,309.2289072
10-01-2022 00:05:31,309.2289072
10-01-2022 00:05:32,309.2289072
10-01-2022 00:05:33,295.8906544
10-01-2022 00:05:34,295.8906544
10-01-2022 00:05:35,295.8906544
10-01-2022 00:05:36,295.8906544
10-01-2022 00:05:37,295.8906544
10-01-2022 00:05:38,258.4953508
10-01-2022 00:05:39,258.4953508
10-01-2022 00:05:40,258.4953508
10-01-2022 00:05:41,258.4953508
10-01-2022 00:05:42,258.4953508
10-01-2022 00:05:43,258.4953508
10-01-2022 00:05:44,258.4953508
10-01-2022 00:05:45,258.4953508
10-01-2022 00:05:46,258.4953508
10-01-2022 00:05:47,258.4953508
10-01-2022 00:05:48,258.4953508
10-01-2022 00:05:49,264.833188
10-01-2022 00:05:50,264.833188
10-01-2022 00:05:51,264.833188
10-01-2022 00:05:52,264.833188
10-01-2022 00:05:53,258.4953508
10-01-2022 00:05:54,245.3898828
10-01-2022 00:05:55,245.3898828
10-01-2022 00:05:56,245.3898828
10-01-2022 00:05:57,245.3898828
10-01-2022 00:05:58,245.3898828
10-01-2022 00:05:59,245.3898828
10-01-2022 00:06:00,245.3898828
10-01-2022 00:06:01,251.6046552
10-01-2022 00:06:02,267.7769368
10-01-2022 00:06:03,267.7769368
10-01-2022 00:06:04,267.7769368
10-01-2022 00:06:05,267.7769368
10-01-2022 00:06:06,267.7769368
10-01-2022 00:06:07,267.7769368
10-01-2022 00:06:08,267.7769368
10-01-2022 00:06:09,292.6360264
10-01-2022 00:06:10,284.5498856
10-01-2022 00:06:11,284.5498856
10-01-2022 00:06:12,284.5498856
10-01-2022 00:06:13,278.3351132
10-01-2022 00:06:14,278.3351132
10-01-2022 00:06:15,278.3351132
10-01-2022 00:06:16,278.3351132
10-01-2022 00:06:17,278.3351132
10-01-2022 00:06:18,278.3351132
10-01-2022 00:06:19,278.3351132
10-01-2022 00:06:20,278.3351132
10-01-2022 00:06:21,284.5498856
10-01-2022 00:06:22,284.5498856
10-01-2022 00:06:23,284.5498856
10-01-2022 00:06:24,284.5498856
10-01-2022 00:06:25,278.3351132
10-01-2022 00:06:26,272.8235268
10-01-2022 00:06:27,272.8235268
10-01-2022 00:06:28,272.8235268
10-01-2022 00:06:29,266.7318192
10-01-2022 00:06:30,266.7318192
10-01-2022 00:06:31,266.7318192
10-01-2022 00:06:32,266.7318192
10-01-2022 00:06:33,266.7318192
10-01-2022 00:06:34,266.7318192
10-01-2022 00:06:35,266.7318192
10-01-2022 00:06:36,266.7318192
10-01-2022 00:06:37,266.7318192
10-01-2022 00:06:38,266.7318192
10-01-2022 00:06:39,266.7318192
10-01-2022 00:06:40,266.7318192
10-01-2022 00:06:41,278.9152344
10-01-2022 00:06:42,278.9152344
10-01-2022 00:06:43,278.9152344
10-01-2022 00:06:44,278.9152344
10-01-2022 00:06:45,285.006942
10-01-2022 00:06:46,285.006942
10-01-2022 00:06:47,285.006942
10-01-2022 00:06:48,285.006942
10-01-2022 00:06:49,285.006942
10-01-2022 00:06:50,285.006942
10-01-2022 00:06:51,285.006942
10-01-2022 00:06:52,285.006942
10-01-2022 00:06:53,278.9152344
10-01-2022 00:06:54,278.9152344
10-01-2022 00:06:55,278.9152344
10-01-2022 00:06:56,278.9152344
10-01-2022 00:06:57,278.9152344
10-01-2022 00:06:58,286.8412536
10-01-2022 00:06:59,286.8412536
10-01-2022 00:07:00,286.8412536
10-01-2022 00:07:01,280.749546
10-01-2022 00:07:02,280.749546
10-01-2022 00:07:03,280.749546
10-01-2022 00:07:04,280.749546
10-01-2022 00:07:05,292.9329612
10-01-2022 00:07:06,285.006942
10-01-2022 00:07:07,285.006942
10-01-2022 00:07:08,285.006942
10-01-2022 00:07:09,285.006942
10-01-2022 00:07:10,285.006942
10-01-2022 00:07:11,285.006942
10-01-2022 00:07:12,285.006942
10-01-2022 00:07:13,242.3649888
10-01-2022 00:07:14,242.3649888
10-01-2022 00:07:15,242.3649888
10-01-2022 00:07:16,242.3649888
10-01-2022 00:07:17,248.4566964
10-01-2022 00:07:18,248.4566964
10-01-2022 00:07:19,248.4566964
10-01-2022 00:07:20,248.4566964
10-01-2022 00:07:21,248.4566964
10-01-2022 00:07:22,256.3827156
10-01-2022 00:07:23,256.3827156
10-01-2022 00:07:24,256.3827156
10-01-2022 00:07:25,250.291008
10-01-2022 00:07:26,250.291008
10-01-2022 00:07:27,250.291008
10-01-2022 00:07:28,250.291008
10-01-2022 00:07:29,250.291008
10-01-2022 00:07:30,244.81312
10-01-2022 00:07:31,244.81312
10-01-2022 00:07:32,244.81312
10-01-2022 00:07:33,244.81312
10-01-2022 00:07:34,244.81312
10-01-2022 00:07:35,244.81312
10-01-2022 00:07:36,244.81312
10-01-2022 00:07:37,250.96636
10-01-2022 00:07:38,242.96028
10-01-2022 00:07:39,242.96028
10-01-2022 00:07:40,242.96028
10-01-2022 00:07:41,236.80704
10-01-2022 00:07:42,236.80704
10-01-2022 00:07:43,236.80704
10-01-2022 00:07:44,236.80704
10-01-2022 00:07:45,249.11352
10-01-2022 00:07:46,257.1196
10-01-2022 00:07:47,257.1196
10-01-2022 00:07:48,257.1196
10-01-2022 00:07:49,257.1196
10-01-2022 00:07:50,257.1196
10-01-2022 00:07:51,257.1196
10-01-2022 00:07:52,257.1196
10-01-2022 00:07:53,257.1196
10-01-2022 00:07:54,257.1196
10-01-2022 00:07:55,257.1196
10-01-2022 00:07:56,257.1196
10-01-2022 00:07:57,257.1196
10-01-2022 00:07:58,257.1196
10-01-2022 00:07:59,257.1196
10-01-2022 00:08:00,257.1196
10-01-2022 00:08:01,257.1196
10-01-2022 00:08:02,254.548404
10-01-2022 00:08:03,254.548404
10-01-2022 00:08:04,254.548404
10-01-2022 00:08:05,248.4566964
10-01-2022 00:08:06,248.4566964
10-01-2022 00:08:07,248.4566964
10-01-2022 00:08:08,248.4566964
10-01-2022 00:08:09,260.6401116
10-01-2022 00:08:10,260.6401116
10-01-2022 00:08:11,260.6401116
10-01-2022 00:08:12,260.6401116
10-01-2022 00:08:13,254.548404
10-01-2022 00:08:14,254.548404
10-01-2022 00:08:15,254.548404
10-01-2022 00:08:16,254.548404
10-01-2022 00:08:17,254.548404
10-01-2022 00:08:18,254.548404
10-01-2022 00:08:19,254.548404
10-01-2022 00:08:20,254.548404
10-01-2022 00:08:21,260.6401116
10-01-2022 00:08:22,260.6401116
10-01-2022 00:08:23,260.6401116
10-01-2022 00:08:24,260.6401116
10-01-2022 00:08:25,254.548404
10-01-2022 00:08:26,262.4744232
10-01-2022 00:08:27,262.4744232
10-01-2022 00:08:28,262.4744232
10-01-2022 00:08:29,268.5661308
10-01-2022 00:08:30,268.5661308
10-01-2022 00:08:31,268.5661308
10-01-2022 00:08:32,268.5661308
10-01-2022 00:08:33,262.4744232
10-01-2022 00:08:34,259.8231664
10-01-2022 00:08:35,259.8231664
10-01-2022 00:08:36,259.8231664
10-01-2022 00:08:37,265.8533416
10-01-2022 00:08:38,265.8533416
10-01-2022 00:08:39,265.8533416
10-01-2022 00:08:40,265.8533416
10-01-2022 00:08:41,271.8835168
10-01-2022 00:08:42,264.0375584
10-01-2022 00:08:43,264.0375584
10-01-2022 00:08:44,264.0375584
10-01-2022 00:08:45,251.977208
10-01-2022 00:08:46,251.977208
10-01-2022 00:08:47,251.977208
10-01-2022 00:08:49,251.977208
10-01-2022 00:08:50,270.0677336
10-01-2022 00:08:51,270.0677336
10-01-2022 00:08:52,270.0677336
10-01-2022 00:08:53,270.0677336
10-01-2022 00:08:54,276.0979088
10-01-2022 00:08:55,276.0979088
10-01-2022 00:08:56,276.0979088
10-01-2022 00:08:57,276.0979088
10-01-2022 00:08:58,264.0375584
10-01-2022 00:08:59,264.0375584
10-01-2022 00:09:00,264.0375584
10-01-2022 00:09:01,264.0375584
10-01-2022 00:09:02,276.0979088
10-01-2022 00:09:03,276.0979088
10-01-2022 00:09:04,276.0979088
10-01-2022 00:09:05,276.0979088
10-01-2022 00:09:06,270.0677336
10-01-2022 00:09:07,272.8235268
10-01-2022 00:09:08,272.8235268
10-01-2022 00:09:09,272.8235268
10-01-2022 00:09:10,266.7318192
10-01-2022 00:09:11,266.7318192
10-01-2022 00:09:12,266.7318192
10-01-2022 00:09:13,266.7318192
10-01-2022 00:09:14,272.8235268
10-01-2022 00:09:15,272.8235268
10-01-2022 00:09:16,272.8235268
10-01-2022 00:09:17,272.8235268
10-01-2022 00:09:18,272.8235268
10-01-2022 00:09:19,272.8235268
10-01-2022 00:09:20,272.8235268
10-01-2022 00:09:21,272.8235268
10-01-2022 00:09:22,266.7318192
10-01-2022 00:09:23,266.7318192
10-01-2022 00:09:24,266.7318192
10-01-2022 00:09:25,266.7318192
10-01-2022 00:09:26,266.7318192
10-01-2022 00:09:27,266.7318192
10-01-2022 00:09:28,266.7318192
10-01-2022 00:09:29,266.7318192
10-01-2022 00:09:30,272.8235268
10-01-2022 00:09:31,272.8235268
10-01-2022 00:09:32,272.8235268
10-01-2022 00:09:33,272.8235268
10-01-2022 00:09:34,272.8235268
10-01-2022 00:09:35,272.8235268
10-01-2022 00:09:36,272.8235268
10-01-2022 00:09:37,272.8235268
10-01-2022 00:09:38,272.8235268
10-01-2022 00:09:39,267.3119404
10-01-2022 00:09:40,267.3119404
10-01-2022 00:09:41,267.3119404
10-01-2022 00:09:42,261.3432976
10-01-2022 00:09:43,261.3432976
10-01-2022 00:09:44,261.3432976
10-01-2022 00:09:45,261.3432976
10-01-2022 00:09:46,261.3432976
10-01-2022 00:09:47,261.3432976
10-01-2022 00:09:48,261.3432976
10-01-2022 00:09:49,261.3432976
10-01-2022 00:09:50,291.1865116
10-01-2022 00:09:51,291.1865116
10-01-2022 00:09:52,291.1865116
10-01-2022 00:09:53,291.1865116
10-01-2022 00:09:54,291.1865116
10-01-2022 00:09:55,306.32212
10-01-2022 00:09:56,306.32212
10-01-2022 00:09:57,306.32212
10-01-2022 00:09:58,306.32212
10-01-2022 00:09:59,306.32212
10-01-2022 00:10:00,306.32212
10-01-2022 00:10:01,306.32212
10-01-2022 00:10:02,306.32212
10-01-2022 00:10:03,306.32212
10-01-2022 00:10:04,306.32212
10-01-2022 00:10:05,306.32212
10-01-2022 00:10:06,300.0414864
10-01-2022 00:10:07,300.0414864
10-01-2022 00:10:08,300.0414864
10-01-2022 00:10:09,300.0414864
10-01-2022 00:10:10,312.6027536
10-01-2022 00:10:11,343.4880384
10-01-2022 00:10:12,343.4880384
10-01-2022 00:10:13,343.4880384
10-01-2022 00:10:14,330.020288
10-01-2022 00:10:15,330.020288
10-01-2022 00:10:16,330.020288
10-01-2022 00:10:17,330.020288
10-01-2022 00:10:18,336.7541632
10-01-2022 00:10:19,328.42784
10-01-2022 00:10:20,328.42784
10-01-2022 00:10:21,328.42784
10-01-2022 00:10:22,335.1617152
10-01-2022 00:10:23,335.1617152
10-01-2022 00:10:24,335.1617152
10-01-2022 00:10:25,335.1617152
10-01-2022 00:10:26,335.1617152
10-01-2022 00:10:27,316.0523392
10-01-2022 00:10:28,316.0523392
10-01-2022 00:10:29,316.0523392
10-01-2022 00:10:30,316.0523392
10-01-2022 00:10:31,316.0523392
10-01-2022 00:10:32,316.0523392
10-01-2022 00:10:33,316.0523392
10-01-2022 00:10:34,322.7862144
10-01-2022 00:10:35,322.7862144
10-01-2022 00:10:36,322.7862144
10-01-2022 00:10:37,322.7862144
10-01-2022 00:10:38,316.0523392
10-01-2022 00:10:39,316.0523392
10-01-2022 00:10:40,316.0523392
10-01-2022 00:10:41,316.0523392
10-01-2022 00:10:42,316.0523392
10-01-2022 00:10:43,313.0133744
10-01-2022 00:10:44,313.0133744
10-01-2022 00:10:45,313.0133744
10-01-2022 00:10:46,313.0133744
10-01-2022 00:10:47,313.0133744
10-01-2022 00:10:48,313.0133744
10-01-2022 00:10:49,313.0133744
10-01-2022 00:10:50,313.0133744
10-01-2022 00:10:51,304.767112
10-01-2022 00:10:52,304.767112
10-01-2022 00:10:53,304.767112
10-01-2022 00:10:54,344.7818704
10-01-2022 00:10:55,344.7818704
10-01-2022 00:10:56,344.7818704
10-01-2022 00:10:57,344.7818704
10-01-2022 00:10:58,364.7892496
10-01-2022 00:10:59,315.3116752
10-01-2022 00:11:00,315.3116752
10-01-2022 00:11:01,315.3116752
10-01-2022 00:11:02,321.9808016
10-01-2022 00:11:03,321.9808016
10-01-2022 00:11:04,321.9808016
10-01-2022 00:11:05,321.9808016
10-01-2022 00:11:06,308.6425488
10-01-2022 00:11:07,316.8888112
10-01-2022 00:11:08,316.8888112
10-01-2022 00:11:09,316.8888112
10-01-2022 00:11:10,316.8888112
10-01-2022 00:11:11,316.8888112
10-01-2022 00:11:12,316.8888112
10-01-2022 00:11:13,316.8888112
10-01-2022 00:11:14,330.227064
10-01-2022 00:11:15,325.1068288
10-01-2022 00:11:16,325.1068288
10-01-2022 00:11:17,325.1068288
10-01-2022 00:11:18,325.1068288
10-01-2022 00:11:19,325.1068288
10-01-2022 00:11:20,325.1068288
10-01-2022 00:11:21,325.1068288
10-01-2022 00:11:22,318.3729536
10-01-2022 00:11:23,318.3729536
10-01-2022 00:11:24,318.3729536
10-01-2022 00:11:25,318.3729536
10-01-2022 00:11:26,318.3729536
10-01-2022 00:11:27,318.3729536
10-01-2022 00:11:28,318.3729536
10-01-2022 00:11:29,318.3729536
10-01-2022 00:11:30,358.7762048
10-01-2022 00:11:31,283.839296
10-01-2022 00:11:32,283.839296
10-01-2022 00:11:33,283.839296
10-01-2022 00:11:34,290.5731712
10-01-2022 00:11:35,290.5731712
10-01-2022 00:11:36,290.5731712
10-01-2022 00:11:37,290.5731712
10-01-2022 00:11:38,290.5731712
10-01-2022 00:11:39,290.5731712
10-01-2022 00:11:40,290.5731712
10-01-2022 00:11:41,290.5731712
10-01-2022 00:11:42,283.839296
10-01-2022 00:11:43,283.839296
10-01-2022 00:11:44,283.839296
10-01-2022 00:11:45,283.839296
10-01-2022 00:11:46,283.839296
10-01-2022 00:11:47,272.8638096
10-01-2022 00:11:48,272.8638096
10-01-2022 00:11:49,272.8638096
10-01-2022 00:11:50,299.5403152
10-01-2022 00:11:51,299.5403152
10-01-2022 00:11:52,299.5403152
10-01-2022 00:11:53,299.5403152
10-01-2022 00:11:54,272.8638096
10-01-2022 00:11:55,272.8638096
10-01-2022 00:11:56,272.8638096
10-01-2022 00:11:57,272.8638096
10-01-2022 00:11:58,266.1946832
10-01-2022 00:11:59,266.1946832
10-01-2022 00:12:00,266.1946832
10-01-2022 00:12:01,249.7021584
10-01-2022 00:12:02,249.7021584
10-01-2022 00:12:03,249.7021584
10-01-2022 00:12:04,249.7021584
10-01-2022 00:12:05,276.378664
10-01-2022 00:12:06,276.378664
10-01-2022 00:12:07,276.378664
10-01-2022 00:12:09,276.378664
10-01-2022 00:12:10,283.0477904
10-01-2022 00:12:11,283.0477904
10-01-2022 00:12:12,283.0477904
10-01-2022 00:12:13,283.0477904
10-01-2022 00:12:14,283.0477904
10-01-2022 00:12:15,283.0477904
10-01-2022 00:12:16,283.0477904
10-01-2022 00:12:17,283.0477904
10-01-2022 00:12:18,276.378664
10-01-2022 00:12:19,268.1324016
10-01-2022 00:12:20,268.1324016
10-01-2022 00:12:21,268.1324016
10-01-2022 00:12:22,274.801528
10-01-2022 00:12:23,274.801528
10-01-2022 00:12:24,274.801528
10-01-2022 00:12:25,274.801528
10-01-2022 00:12:26,308.14716
10-01-2022 00:12:27,316.3934224
10-01-2022 00:12:28,316.3934224
10-01-2022 00:12:29,316.3934224
10-01-2022 00:12:30,276.378664
10-01-2022 00:12:31,276.378664
10-01-2022 00:12:32,276.378664
